date,compound
05/10/2022,733.6077
06/10/2022,735.3755
07/10/2022,584.9969
08/10/2022,514.4483
09/10/2022,729.4342
10/10/2022,701.4963
11/10/2022,674.5812
12/10/2022,767.0395
13/10/2022,730.1915
14/10/2022,661.5738
15/10/2022,668.7691
16/10/2022,602.3479
17/10/2022,742.0125
18/10/2022,697.6971
19/10/2022,786.7635
20/10/2022,667.9546
21/10/2022,1199.2534
22/10/2022,605.9735
23/10/2022,551.7338
24/10/2022,450.1348
25/10/2022,835.9873
26/10/2022,1027.1528
27/10/2022,815.5992
28/10/2022,916.0187
29/10/2022,532.5536
30/10/2022,587.1368
31/10/2022,588.9378
01/11/2022,467.6681
02/11/2022,827.0119
03/11/2022,933.3767
04/11/2022,1767.3295
05/11/2022,1278.8797
06/11/2022,1548.0287
07/11/2022,583.7603
08/11/2022,-324.7714
09/11/2022,63.0021
10/11/2022,2.5665
11/11/2022,122.9925
12/11/2022,-98.5583
13/11/2022,78.7139
14/11/2022,277.22
15/11/2022,784.4478
16/11/2022,336.1183
17/11/2022,489.184
18/11/2022,441.6583
19/11/2022,155.8677
20/11/2022,290.268
21/11/2022,2.5944
22/11/2022,72.5174
